,Date,Winner,Method,Referee,N_rounds,W_round,W_round_time,R_fighter,B_fighter,R_KD,B_KD,R_sub_att,B_sub_att,R_rev,B_rev,R_ctrl,B_ctrl,R_total_str_att,R_total_str_land,B_total_str_att,B_total_str_land,R_TD_att,R_TD_land,B_TD_att,B_TD_land,R_sig_str_att,R_sig_str_land,B_sig_str_att,B_sig_str_land,R_sig_str_head_att,R_sig_str_head_land,B_sig_str_head_att,B_sig_str_head_land,R_sig_str_body_att,R_sig_str_body_land,B_sig_str_body_att,B_sig_str_body_land,R_sig_str_leg_att,R_sig_str_leg_land,B_sig_str_leg_att,B_sig_str_leg_land,R_sig_str_dist_att,R_sig_str_dist_land,B_sig_str_dist_att,B_sig_str_dist_land,R_sig_str_clinch_att,R_sig_str_clinch_land,B_sig_str_clinch_att,B_sig_str_clinch_land,R_sig_str_ground_att,R_sig_str_ground_land,B_sig_str_ground_att,B_sig_str_ground_land
0,2023-05-20,Mackenzie Dern,Decision - Unanimous,Jason Herzog,5,5,0 days 00:05:00,Mackenzie Dern,Angela Hill,1,0,0,0,0,0,0 days 00:13:12,0 days 00:07:11,340,247,142,94,9,3,0,0,210,126,108,66,186,104,65,27,20,18,42,39,4,4,1,0,132,58,74,35,22,19,31,30,56,49,3,1
1,2023-05-20,Anthony Hernandez,KO/TKO,Herb Dean,3,3,0 days 00:01:01,Edmen Shahbazyan,Anthony Hernandez,0,0,1,4,0,0,0 days 00:00:41,0 days 00:07:11,55,33,105,77,1,1,15,6,51,30,88,63,42,21,79,55,8,8,4,4,1,1,5,4,35,17,33,15,14,11,8,8,2,2,47,40
2,2023-05-20,Loopy Godinez,Decision - Unanimous,Chris Tognoni,3,3,0 days 00:05:00,Emily Ducote,Loopy Godinez,0,0,0,0,0,0,0 days 00:00:11,0 days 00:00:13,275,117,248,133,4,0,3,1,270,112,246,132,214,71,214,106,33,21,18,12,23,20,14,14,262,106,232,121,8,6,14,11,0,0,0,0
3,2023-05-20,Joaquin Buckley,KO/TKO,Kerry Hatley,3,2,0 days 00:04:15,Andre Fialho,Joaquin Buckley,0,1,0,0,0,0,0 days 00:00:07,0 days 00:00:23,51,22,90,27,0,0,3,2,51,22,89,26,42,14,66,12,8,7,18,9,1,1,5,5,50,21,89,26,1,1,0,0,0,0,0,0
4,2023-05-20,Diego Ferreira,KO/TKO,Herb Dean,3,2,0 days 00:01:50,Diego Ferreira,Michael Johnson,1,0,0,0,0,0,0 days 00:00:01,0 days 00:00:00,71,30,58,32,2,0,0,0,71,30,58,32,46,17,34,13,21,10,20,17,4,3,4,2,70,29,58,32,0,0,0,0,1,1,0,0
5,2023-05-20,Viacheslav Borshchev,KO/TKO,Jason Herzog,3,2,0 days 00:02:37,Maheshate,Viacheslav Borshchev,0,3,0,0,0,0,0 days 00:00:00,0 days 00:00:09,110,33,148,85,2,0,0,0,109,32,148,85,100,26,99,40,3,1,19,17,6,5,30,28,99,29,118,69,10,3,18,11,0,0,12,5
6,2023-05-20,Karolina Kowalkiewicz,Decision - Unanimous,Chris Tognoni,3,3,0 days 00:05:00,Karolina Kowalkiewicz,Vanessa Demopoulos,0,0,0,0,0,0,0 days 00:01:52,0 days 00:00:00,249,148,237,83,0,0,4,0,237,139,221,68,187,94,190,49,33,30,23,13,17,15,8,6,230,134,216,65,7,5,5,3,0,0,0,0
7,2023-05-20,Gilbert Urbina,KO/TKO,Kerry Hatley,3,2,0 days 00:02:55,Orion Cosce,Gilbert Urbina,0,1,0,1,0,0,0 days 00:00:05,0 days 00:03:06,48,28,139,100,0,0,2,2,32,16,82,51,23,9,56,31,5,3,16,12,4,4,10,8,29,14,55,27,2,1,4,4,1,1,23,20
8,2023-05-20,Rodrigo Nascimento,Decision - Split,Herb Dean,3,3,0 days 00:05:00,Ilir Latifi,Rodrigo Nascimento,0,0,0,0,0,0,0 days 00:03:50,0 days 00:00:00,105,76,160,76,7,2,0,0,77,49,152,68,42,20,122,51,22,18,21,10,13,11,9,7,72,46,145,61,3,1,7,7,2,2,0,0
9,2023-05-20,Chase Hooper,Decision - Unanimous,Jason Herzog,3,3,0 days 00:05:00,Chase Hooper,Nick Fiore,0,0,1,0,1,0,0 days 00:03:54,0 days 00:04:47,340,217,98,58,10,1,8,4,245,149,90,51,203,110,88,49,34,31,1,1,8,8,1,1,160,97,66,34,73,42,17,11,12,10,7,6
