,Date,Winner,Method,Weight_class,W_round,W_round_time,R_KD,B_KD,R_sub_att,B_sub_att,R_rev,B_rev,R_ctrl,B_ctrl,R_link,B_link,N_Rounds,Fight_time,R_total_str_att,R_total_str_land,B_total_str_att,B_total_str_land,R_TD_att,R_TD_land,B_TD_att,B_TD_land,R_sig_str_att,R_sig_str_land,B_sig_str_att,B_sig_str_land,R_sig_str_head_att,R_sig_str_head_land,B_sig_str_head_att,B_sig_str_head_land,R_sig_str_body_att,R_sig_str_body_land,B_sig_str_body_att,B_sig_str_body_land,R_sig_str_leg_att,R_sig_str_leg_land,B_sig_str_leg_att,B_sig_str_leg_land,R_sig_str_dist_att,R_sig_str_dist_land,B_sig_str_dist_att,B_sig_str_dist_land,R_sig_str_clinch_att,R_sig_str_clinch_land,B_sig_str_clinch_att,B_sig_str_clinch_land,R_sig_str_ground_att,R_sig_str_ground_land,B_sig_str_ground_att,B_sig_str_ground_land,R_Height,R_Reach,R_Stance,B_Height,B_Reach,B_Stance,R_age,B_age
0,2010-12-04,B,Dec,Lightweight,3,300,,,,,,,,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,http://ufcstats.com/fighter-details/343d57cde1a14338,3,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,71.0,Orthodox,70.0,72.0,Orthodox,32.0,23.0
1,2010-05-15,R,Sub,Catch Weight,1,56,,,,,,,,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,http://ufcstats.com/fighter-details/377bc9dc0b2745f9,3,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,72.0,Orthodox,70.0,72.0,Orthodox,31.0,26.0
2,2006-09-23,R,Dec,Lightweight,3,300,0.0,0.0,1.0,0.0,0.0,0.0,123.0,110.0,http://ufcstats.com/fighter-details/04d5718ed2661e8c,http://ufcstats.com/fighter-details/15df64c02b6b0fde,3,1200,208.0,101.0,173.0,79.0,7.0,1.0,0.0,0.0,159.0,58.0,146.0,56.0,149.0,49.0,137.0,49.0,7.0,6.0,9.0,7.0,3.0,3.0,0.0,0.0,128.0,44.0,122.0,41.0,18.0,12.0,20.0,12.0,13.0,2.0,4.0,3.0,67.0,69.0,Orthodox,71.0,73.0,Orthodox,29.0,23.0
3,2006-06-24,R,Sub,Middleweight,1,176,0.0,0.0,1.0,0.0,0.0,0.0,101.0,0.0,http://ufcstats.com/fighter-details/c8136ab8aa32c974,http://ufcstats.com/fighter-details/15df64c02b6b0fde,3,476,33.0,25.0,12.0,6.0,2.0,1.0,0.0,0.0,29.0,21.0,9.0,3.0,17.0,10.0,8.0,2.0,12.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,1.0,5.0,5.0,4.0,2.0,19.0,14.0,0.0,0.0,75.0,74.0,Orthodox,71.0,73.0,Orthodox,31.0,22.0
4,2022-09-06,R,Dec,Lightweight,3,300,1.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,http://ufcstats.com/fighter-details/eb393afdbe3293d5,http://ufcstats.com/fighter-details/59a9d6dac61c2540,3,1200,158.0,85.0,225.0,45.0,3.0,1.0,2.0,0.0,158.0,85.0,225.0,45.0,133.0,63.0,197.0,26.0,21.0,19.0,11.0,8.0,4.0,3.0,17.0,11.0,144.0,77.0,224.0,45.0,7.0,5.0,1.0,0.0,7.0,3.0,0.0,0.0,68.0,71.0,Orthodox,68.0,66.0,Orthodox,26.0,28.0
5,2023-01-21,B,KO,Heavyweight,2,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,http://ufcstats.com/fighter-details/41e83a89929d1327,3,776,3.0,3.0,110.0,89.0,0.0,0.0,5.0,3.0,1.0,1.0,57.0,45.0,1.0,1.0,55.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,44.0,75.0,76.0,Orthodox,75.0,79.0,Orthodox,41.0,31.0
6,2022-03-19,B,KO,Heavyweight,1,243,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,http://ufcstats.com/fighter-details/f14cf73e51b29254,3,543,34.0,17.0,48.0,22.0,1.0,0.0,0.0,0.0,34.0,17.0,47.0,21.0,16.0,4.0,46.0,21.0,5.0,4.0,1.0,0.0,13.0,9.0,0.0,0.0,34.0,17.0,22.0,6.0,0.0,0.0,8.0,4.0,0.0,0.0,17.0,11.0,75.0,76.0,Orthodox,75.0,84.0,Southpaw,40.0,29.0
7,2021-09-25,B,KO,Heavyweight,2,83,0.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45,3,683,63.0,23.0,93.0,38.0,0.0,0.0,0.0,0.0,63.0,23.0,93.0,38.0,48.0,13.0,88.0,34.0,11.0,6.0,3.0,2.0,4.0,4.0,2.0,2.0,62.0,22.0,58.0,18.0,1.0,1.0,5.0,2.0,0.0,0.0,30.0,18.0,75.0,76.0,Orthodox,75.0,76.0,Orthodox,40.0,32.0
8,2019-09-07,R,KO,Heavyweight,2,142,0.0,0.0,0.0,0.0,0.0,0.0,367.0,0.0,http://ufcstats.com/fighter-details/fa6796c55d6c5440,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,3,742,74.0,46.0,8.0,3.0,5.0,5.0,0.0,0.0,43.0,25.0,8.0,3.0,41.0,23.0,7.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,33.0,23.0,0.0,0.0,76.0,80.0,Orthodox,75.0,76.0,Orthodox,28.0,38.0
9,2019-04-20,B,KO,Heavyweight,2,195,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,3,795,70.0,28.0,87.0,36.0,0.0,0.0,3.0,0.0,70.0,28.0,87.0,36.0,58.0,17.0,72.0,24.0,7.0,6.0,13.0,10.0,5.0,5.0,2.0,2.0,65.0,26.0,74.0,26.0,5.0,2.0,13.0,10.0,0.0,0.0,0.0,0.0,75.0,78.0,Orthodox,75.0,76.0,Orthodox,33.0,37.0
10,2018-09-15,B,Dec,Heavyweight,3,300,0.0,0.0,0.0,0.0,0.0,0.0,18.0,206.0,http://ufcstats.com/fighter-details/3738e68d2261e60f,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,3,1200,71.0,27.0,108.0,67.0,3.0,2.0,4.0,2.0,58.0,18.0,70.0,32.0,45.0,8.0,50.0,19.0,9.0,6.0,16.0,9.0,4.0,4.0,4.0,4.0,39.0,9.0,41.0,12.0,13.0,6.0,11.0,6.0,6.0,3.0,18.0,14.0,75.0,77.0,Orthodox,75.0,76.0,Orthodox,39.0,37.0
11,2017-11-25,B,KO,Heavyweight,1,84,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,http://ufcstats.com/fighter-details/01b352b6a9074d5c,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,3,384,13.0,5.0,10.0,6.0,0.0,0.0,0.0,0.0,13.0,5.0,10.0,6.0,12.0,4.0,8.0,5.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,13.0,5.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,78.0,Orthodox,75.0,76.0,Orthodox,28.0,36.0
12,2016-12-09,R,KO,Heavyweight,4,222,0.0,0.0,0.0,1.0,0.0,0.0,102.0,452.0,http://ufcstats.com/fighter-details/d3df1add9d9a7efb,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,5,1422,97.0,46.0,106.0,77.0,3.0,1.0,11.0,4.0,90.0,39.0,37.0,15.0,81.0,32.0,23.0,5.0,7.0,5.0,6.0,5.0,2.0,2.0,8.0,5.0,46.0,8.0,23.0,5.0,7.0,4.0,7.0,5.0,37.0,27.0,7.0,5.0,75.0,79.0,Orthodox,75.0,76.0,Orthodox,31.0,35.0
13,2016-10-01,R,Dec,Heavyweight,3,300,0.0,0.0,0.0,1.0,0.0,0.0,44.0,29.0,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,http://ufcstats.com/fighter-details/03f982ca3735070c,3,1200,135.0,52.0,101.0,36.0,8.0,1.0,0.0,0.0,128.0,47.0,98.0,33.0,91.0,21.0,79.0,21.0,10.0,6.0,12.0,7.0,27.0,20.0,7.0,5.0,108.0,39.0,83.0,24.0,16.0,7.0,15.0,9.0,4.0,1.0,0.0,0.0,75.0,76.0,Orthodox,77.0,77.0,Southpaw,35.0,33.0
14,2016-02-21,B,Dec,Heavyweight,3,300,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,http://ufcstats.com/fighter-details/c727c7d31c50c4cf,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,3,1200,86.0,48.0,132.0,89.0,4.0,0.0,2.0,0.0,77.0,40.0,104.0,62.0,52.0,19.0,84.0,49.0,19.0,16.0,9.0,6.0,6.0,5.0,11.0,7.0,38.0,16.0,61.0,29.0,39.0,24.0,41.0,31.0,0.0,0.0,2.0,2.0,77.0,76.0,Orthodox,75.0,76.0,Orthodox,35.0,34.0
15,2015-04-04,B,KO,Heavyweight,1,297,0.0,0.0,0.0,0.0,0.0,0.0,31.0,57.0,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,http://ufcstats.com/fighter-details/cc900af167fbedfd,3,597,27.0,11.0,72.0,33.0,1.0,0.0,2.0,1.0,25.0,9.0,59.0,22.0,19.0,5.0,44.0,14.0,1.0,0.0,6.0,1.0,5.0,4.0,9.0,7.0,22.0,9.0,29.0,3.0,3.0,0.0,12.0,8.0,0.0,0.0,18.0,11.0,75.0,76.0,Orthodox,75.0,77.0,Southpaw,33.0,30.0
16,2018-06-23,R,Dec,Welterweight,3,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e64b96c07d7ce999,http://ufcstats.com/fighter-details/5140122c3eecd307,3,1200,206.0,96.0,154.0,45.0,0.0,0.0,0.0,0.0,206.0,96.0,154.0,45.0,111.0,32.0,123.0,24.0,23.0,13.0,6.0,1.0,72.0,51.0,25.0,20.0,205.0,95.0,153.0,45.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,71.0,Orthodox,71.0,71.0,Orthodox,30.0,26.0
17,2018-02-10,R,Dec,Welterweight,3,300,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,http://ufcstats.com/fighter-details/4c288a2b250bb576,http://ufcstats.com/fighter-details/5140122c3eecd307,3,1200,131.0,64.0,176.0,65.0,1.0,1.0,1.0,0.0,130.0,63.0,171.0,63.0,93.0,35.0,144.0,43.0,20.0,11.0,14.0,7.0,17.0,17.0,13.0,13.0,118.0,58.0,145.0,47.0,7.0,2.0,14.0,8.0,5.0,3.0,12.0,8.0,71.0,72.0,Orthodox,71.0,71.0,Orthodox,30.0,26.0
