,Name,Height,Weight,Reach,Stance,DOB,Link
0,Tom Aaron,--,155 lbs,--,,"Jul 13, 1978",http://ufcstats.com/fighter-details/93fe7332d16c6ad9
1,Danny Abbadi,"5' 11""",155 lbs,--,Orthodox,"Jul 03, 1983",http://ufcstats.com/fighter-details/15df64c02b6b0fde
2,Nariman Abbasov,"5' 8""",155 lbs,"66""",Orthodox,"Feb 01, 1994",http://ufcstats.com/fighter-details/59a9d6dac61c2540
3,David Abbott,"6' 0""",265 lbs,--,Switch,--,http://ufcstats.com/fighter-details/b361180739bed4b0
4,Hamdy Abdelwahab,"6' 2""",264 lbs,"72""",Southpaw,"Jan 22, 1993",http://ufcstats.com/fighter-details/3329d692aea4dc28
5,Shamil Abdurakhimov,"6' 3""",235 lbs,"76""",Orthodox,"Sep 02, 1981",http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
6,Hiroyuki Abe,"5' 6""",145 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/c0ed7b208197e8de
7,Daichi Abe,"5' 11""",170 lbs,"71""",Orthodox,"Nov 27, 1991",http://ufcstats.com/fighter-details/5140122c3eecd307
8,Papy Abedi,"5' 11""",185 lbs,--,Southpaw,"Jun 30, 1978",http://ufcstats.com/fighter-details/c9f6385af6df66d7
9,Ricardo Abreu,"5' 11""",185 lbs,--,Orthodox,"Apr 27, 1984",http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
10,Klidson Abreu,"6' 0""",205 lbs,"74""",Orthodox,"Dec 24, 1992",http://ufcstats.com/fighter-details/7279654c7674cd24
11,Cyborg Abreu,--,--,--,,"Dec 20, 1980",http://ufcstats.com/fighter-details/f689bd7bbd14b392
12,Daniel Acacio,"5' 8""",180 lbs,--,Orthodox,"Dec 27, 1977",http://ufcstats.com/fighter-details/1c5879330d42255f
13,John Adajar,"5' 9""",170 lbs,"75""",Orthodox,"Jun 22, 1991",http://ufcstats.com/fighter-details/989b85f6540c86b1
14,Scott Adams,"6' 0""",225 lbs,--,Southpaw,--,http://ufcstats.com/fighter-details/2620f3eb21c79614
15,Juan Adams,"6' 5""",265 lbs,"80""",Orthodox,"Jan 16, 1992",http://ufcstats.com/fighter-details/83b00f7597e5ac83
16,Anthony Adams,"6' 1""",185 lbs,"76""",Orthodox,"Jan 13, 1988",http://ufcstats.com/fighter-details/a77633a989013265
17,Zarrukh Adashev,"5' 5""",125 lbs,"65""",Southpaw,"Jul 29, 1992",http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
18,Israel Adesanya,"6' 4""",185 lbs,"80""",Switch,"Jul 22, 1989",http://ufcstats.com/fighter-details/1338e2c7480bdf9e
19,Sam Adkins,"6' 3""",225 lbs,--,Orthodox,"Apr 26, 1965",http://ufcstats.com/fighter-details/0e9869d712e81f8f
20,Nick Agallar,"5' 8""",155 lbs,--,Orthodox,"Jan 13, 1979",http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
21,Mariya Agapova,"5' 6""",125 lbs,"68""",Southpaw,"Apr 07, 1997",http://ufcstats.com/fighter-details/a08ddd04eaffd81d
22,Marcelo Aguiar,"5' 10""",170 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/44aa652b181bcf68
23,Fabio Aguiar,"6' 0""",185 lbs,--,,"Feb 10, 1988",http://ufcstats.com/fighter-details/501821d7fb7b95c1
24,Edwin Aguilar,"5' 10""",185 lbs,--,,--,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
